stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_6_4032,4032,Metro Palos de la Frontera,Paseo de las Delicias 49,40.4025279680286,-3.69364738326457,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_5727,5727,Cibeles,Paseo del Prado 1,40.4186601433882,-3.69264982696178,,http://www.crtm.es,0,,Europe/Madrid,0
par_6_5618,5618,O Donnell-Narváez,Calle de ODonnell 26,40.4214860136823,-3.67561474331064,,http://www.crtm.es,0,,Europe/Madrid,0
par_6_5619,5619,O Donnell-Narváez,Calle de ODonnell 37,40.4217066406738,-3.67563094498753,,http://www.crtm.es,0,,Europe/Madrid,0
par_6_755,755,Felipe II,Calle de Alcalá 96,40.4245280428012,-3.67613324744924,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4575,4575,Aurora Boreal-Minerva,Avda de la Aurora Boreal 10,40.3989990670275,-3.60303608112197,,http://www.crtm.es,0,,Europe/Madrid,0
par_6_4585,4585,Puerta de Arganda,Avda de la Gran Vía del Este 7,40.4016243346742,-3.59711888116882,,http://www.crtm.es,0,,Europe/Madrid,0
par_6_5833,5833,Puerta de Arganda,Avda de la Gran Vía del Este 14,40.4019124151849,-3.59715972168401,,http://www.crtm.es,0,,Europe/Madrid,0
par_6_1048,1048,José Prat-Indalecio Prieto,Bulev de José Prat 18,40.3974727938048,-3.62331664479073,,http://www.crtm.es,0,,Europe/Madrid,0
par_6_4586,4586,Cordel de Pavones,Calle de Cordel de Pavones 52,40.3962739186644,-3.62008312957316,,http://www.crtm.es,0,,Europe/Madrid,0
par_6_2480,2480,Cuatro Caminos,Avda de la Reina Victoria 10,40.4470923543278,-3.70537563982115,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4287,4287,Escuela de Caminos,Calle del Profesor Aranguren 1,40.4480424478616,-3.73156393932262,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4288,4288,Escuela de Caminos,Calle del Profesor Aranguren 1,40.4479120430888,-3.73152825514557,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4289,4289,Filosofía B,Calle del Profesor Aranguren 5,40.4493583073403,-3.73361283701897,,http://www.crtm.es,0,,Europe/Madrid,0
par_6_4290,4290,Ciudad Universitaria,Calle del Profesor Aranguren 5,40.4484899913351,-3.73415767241952,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4291,4291,Avenida Complutense-Jardín Botánico,Calle del Profesor Aranguren 1,40.4481865923633,-3.72870686363191,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_5316,5316,Vicente Aleixandre,Avda de Gregorio del Amo SN,40.4468037701225,-3.71860862035094,A,http://www.crtm.es,0,,Europe/Madrid,2
