idx,hasSimpleResult,hasResultTime,madeBySensor,observedProperty,validada,tipoMedicion,tipoEmisorPredominante,tipoIntervaloReferencia
101,64.7,2019-12-21T00:00:00,6,nivelRuido,false,LAS90,,T
102,59.0,2019-12-21T00:00:00,6,nivelRuido,false,LAS99,,T
103,72.3,2019-12-21T00:00:00,6,nivelRuido,false,LAeq,,D
104,80.0,2019-12-21T00:00:00,6,nivelRuido,false,LAS01,,D
105,73.9,2019-12-21T00:00:00,6,nivelRuido,false,LAS10,,D
106,68.7,2019-12-21T00:00:00,6,nivelRuido,false,LAS50,,D
107,64.8,2019-12-21T00:00:00,6,nivelRuido,false,LAS90,,D
108,62.3,2019-12-21T00:00:00,6,nivelRuido,false,LAS99,ferrocarriles,D
109,69.6,2019-12-21T00:00:00,6,nivelRuido,false,LAeq,,E
110,76.0,2019-12-21T00:00:00,6,nivelRuido,false,LAS01,,E
111,73.4,2019-12-21T00:00:00,6,nivelRuido,false,LAS10,,E
112,67.3,2019-12-21T00:00:00,6,nivelRuido,false,LAS50,,E
113,62.9,2019-12-21T00:00:00,6,nivelRuido,false,LAS90,,E
114,58.3,2019-12-21T00:00:00,6,nivelRuido,false,LAS99,,E
115,71.2,2019-12-21T00:00:00,6,nivelRuido,false,LAeq,,N
116,77.2,2019-12-21T00:00:00,6,nivelRuido,false,LAS01,,N
117,74.1,2019-12-21T00:00:00,6,nivelRuido,false,LAS10,,N
118,68.3,2019-12-21T00:00:00,6,nivelRuido,false,LAS50,aeronaves,N
119,63.9,2019-12-21T00:00:00,6,nivelRuido,false,LAS90,,N
120,59.0,2019-12-21T00:00:00,6,nivelRuido,false,LAS99,,N
121,67.9,2019-12-21T00:00:00,8,nivelRuido,false,LAeq,,T
122,74.3,2019-12-21T00:00:00,8,nivelRuido,false,LAS01,,T
123,70.0,2019-12-21T00:00:00,8,nivelRuido,false,LAS10,,T
124,66.3,2019-12-21T00:00:00,8,nivelRuido,false,LAS50,,T
125,62.6,2019-12-21T00:00:00,8,nivelRuido,false,LAS90,,T
126,56.1,2019-12-21T00:00:00,8,nivelRuido,false,LAS99,,T
127,67.1,2019-12-21T00:00:00,8,nivelRuido,false,LAeq,,D
128,73.5,2019-12-21T00:00:00,8,nivelRuido,false,LAS01,actividades-comerciales,D
129,68.0,2019-12-21T00:00:00,8,nivelRuido,false,LAS10,,D
130,65.1,2019-12-21T00:00:00,8,nivelRuido,false,LAS50,,D
131,62.6,2019-12-21T00:00:00,8,nivelRuido,false,LAS90,,D
132,60.1,2019-12-21T00:00:00,8,nivelRuido,false,LAS99,,D
133,66.4,2019-12-21T00:00:00,8,nivelRuido,false,LAeq,,E
134,72.8,2019-12-21T00:00:00,8,nivelRuido,false,LAS01,,E
135,69.5,2019-12-21T00:00:00,8,nivelRuido,false,LAS10,,E
136,64.9,2019-12-21T00:00:00,8,nivelRuido,false,LAS50,,E
137,59.8,2019-12-21T00:00:00,8,nivelRuido,false,LAS90,,E
138,53.8,2019-12-21T00:00:00,8,nivelRuido,false,LAS99,,E
139,67.3,2019-12-21T00:00:00,8,nivelRuido,false,LAeq,,N
140,73.8,2019-12-21T00:00:00,8,nivelRuido,false,LAS01,,N
141,69.5,2019-12-21T00:00:00,8,nivelRuido,false,LAS10,,N
142,65.6,2019-12-21T00:00:00,8,nivelRuido,false,LAS50,,N
143,61.5,2019-12-21T00:00:00,8,nivelRuido,false,LAS90,actividades-deportivas-ocio,N
144,55.2,2019-12-21T00:00:00,8,nivelRuido,false,LAS99,,N
145,66.6,2019-12-21T00:00:00,10,nivelRuido,false,LAeq,,T
146,73.7,2019-12-21T00:00:00,10,nivelRuido,false,LAS01,,T
147,69.6,2019-12-21T00:00:00,10,nivelRuido,false,LAS10,,T
148,63.5,2019-12-21T00:00:00,10,nivelRuido,false,LAS50,,T
149,57.8,2019-12-21T00:00:00,10,nivelRuido,false,LAS90,,T
150,51.9,2019-12-21T00:00:00,10,nivelRuido,false,LAS99,,T
151,64.7,2019-12-21T00:00:00,10,nivelRuido,false,LAeq,,D
152,72.2,2019-12-21T00:00:00,10,nivelRuido,false,LAS01,,D
153,68.0,2019-12-21T00:00:00,10,nivelRuido,false,LAS10,,D
154,62.3,2019-12-21T00:00:00,10,nivelRuido,false,LAS50,,D
155,58.3,2019-12-21T00:00:00,10,nivelRuido,false,LAS90,,D
156,55.5,2019-12-21T00:00:00,10,nivelRuido,false,LAS99,aeronaves,D
157,62.1,2019-12-21T00:00:00,10,nivelRuido,false,LAeq,,E
158,70.9,2019-12-21T00:00:00,10,nivelRuido,false,LAS01,,E
159,65.6,2019-12-21T00:00:00,10,nivelRuido,false,LAS10,,E
160,58.2,2019-12-21T00:00:00,10,nivelRuido,false,LAS50,actividades-comerciales,E
161,52.1,2019-12-21T00:00:00,10,nivelRuido,false,LAS90,,E
162,49.0,2019-12-21T00:00:00,10,nivelRuido,false,LAS99,,E
163,65.4,2019-12-21T00:00:00,10,nivelRuido,false,LAeq,,N
164,72.9,2019-12-21T00:00:00,10,nivelRuido,false,LAS01,,N
165,68.5,2019-12-21T00:00:00,10,nivelRuido,false,LAS10,,N
166,61.9,2019-12-21T00:00:00,10,nivelRuido,false,LAS50,,N
167,54.5,2019-12-21T00:00:00,10,nivelRuido,false,LAS90,,N
168,49.9,2019-12-21T00:00:00,10,nivelRuido,false,LAS99,,N
169,69.4,2019-12-21T00:00:00,11,nivelRuido,false,LAeq,,T
170,74.8,2019-12-21T00:00:00,11,nivelRuido,false,LAS01,,T
171,72.0,2019-12-21T00:00:00,11,nivelRuido,false,LAS10,,T
172,68.1,2019-12-21T00:00:00,11,nivelRuido,false,LAS50,,T
173,61.9,2019-12-21T00:00:00,11,nivelRuido,false,LAS90,,T
174,54.1,2019-12-21T00:00:00,11,nivelRuido,false,LAS99,,T
175,68.6,2019-12-21T00:00:00,11,nivelRuido,false,LAeq,,D
176,73.5,2019-12-21T00:00:00,11,nivelRuido,false,LAS01,,D
177,70.0,2019-12-21T00:00:00,11,nivelRuido,false,LAS10,,D
178,66.9,2019-12-21T00:00:00,11,nivelRuido,false,LAS50,,D
179,62.5,2019-12-21T00:00:00,11,nivelRuido,false,LAS90,,D
180,58.5,2019-12-21T00:00:00,11,nivelRuido,false,LAS99,,D
181,65.9,2019-12-21T00:00:00,11,nivelRuido,false,LAeq,,E
182,72.6,2019-12-21T00:00:00,11,nivelRuido,false,LAS01,,E
183,69.7,2019-12-21T00:00:00,11,nivelRuido,false,LAS10,,E
184,63.8,2019-12-21T00:00:00,11,nivelRuido,false,LAS50,,E
185,55.6,2019-12-21T00:00:00,11,nivelRuido,false,LAS90,,E
186,49.8,2019-12-21T00:00:00,11,nivelRuido,false,LAS99,,E
187,68.3,2019-12-21T00:00:00,11,nivelRuido,false,LAeq,,N
188,74.2,2019-12-21T00:00:00,11,nivelRuido,false,LAS01,,N
189,71.1,2019-12-21T00:00:00,11,nivelRuido,false,LAS10,,N
190,66.6,2019-12-21T00:00:00,11,nivelRuido,false,LAS50,,N
191,58.9,2019-12-21T00:00:00,11,nivelRuido,false,LAS90,,N
192,51.6,2019-12-21T00:00:00,11,nivelRuido,false,LAS99,,N
193,66.0,2019-12-21T00:00:00,12,nivelRuido,false,LAeq,,T
194,77.0,2019-12-21T00:00:00,12,nivelRuido,false,LAS01,,T
195,66.0,2019-12-21T00:00:00,12,nivelRuido,false,LAS10,,T
196,62.4,2019-12-21T00:00:00,12,nivelRuido,false,LAS50,,T
197,58.4,2019-12-21T00:00:00,12,nivelRuido,false,LAS90,,T
198,53.6,2019-12-21T00:00:00,12,nivelRuido,false,LAS99,,T
199,64.2,2019-12-21T00:00:00,12,nivelRuido,false,LAeq,,D
200,72.9,2019-12-21T00:00:00,12,nivelRuido,false,LAS01,,D
201,64.6,2019-12-21T00:00:00,12,nivelRuido,false,LAS10,,D
